"Picture Count","MLS #","Class","Property Type","County","Price","Address","City","State","Zip","Status","# of 1/2 Baths","# of 3/4 Baths","# of Full Baths","1031 Exchange (Y/N)","Asking Price","Basement","Below Grade SQFT","Closing Date","Comments / Concessions","Contract Date","Cumulative DOM","Days On Market","Days On MLS","Days Under Contract","Distressed Property","Finished SQFT","Garage Capacity","Garage Dimensions","Geocode Quality","HUD","IMAPP Address","Latitude","Longitude","Lot Sq Ft","Lot Dimensions","Make/Model","Neighborhood","Number of Acres","Price Per Sqft","Price Date","Public Remarks","Sale Includes","School District","Serial #/VIN","Sold Price","Sold Price Per SQFT","Subdivision","Tax ID","Tax Parcel #","Tax Year","Total Baths","Total SQFT","Year Built","Zoning Type","Bedrooms","How Sold","New Construction (Y/N)","New","Occupant","Original Price","Sale/Rent","Status Date","Ever Occupied","Builder Name"
"21","276623","Residential-Single Family","Manufactured Rented Lot","Yakima","$25,000","1100 S Euclid","Grandview","WA","98930","Sold","0","0","2",,"$30,000","No","0","9/26/2024",,"9/5/2024","87","87","86",,,"1,036","None",,,"No",,,,,,"Barrington",,"0.0000","$24.13","9/26/2024","MLS# 276623 Calling all active adults aged 55 and above! Embrace a relaxed lifestyle in this charming 1975 single wide mobile home with a tip-out. Featuring appliances, 2 storage sheds, central heat and air, and newer vinyl windows, this property offers comfort and convenience tailored to your needs. Priced at $30,000, seize this opportunity to enjoy your golden years in a cozy home of your own!",,,"S3848","$25,000","$24.13","QUAIL RN 1",,"30000003688","2024","2","1,036","1975","Resid Mob Home","2","Cash","No","Existing Construction (Not New)","vacant","$49,500","For Sale","9/26/2024","Yes",
"1","279119","Residential-Single Family","Site Built-Owned Lot","Yakima","$35,000","715 W 5th","Grandview","WA","98930","Sold","0","0","0",,"$35,000","No","0","9/27/2024",,"9/22/2024","2","2","0",,,"0","None",,,"No",,,,,,,,"0.2200",,"9/22/2024","MLS# 279119 Home has been burned. Selling lot and remains as is.",,,,"$35,000",,"NONE/NA",,"23092323581","2024","1","0","0","Residential","0","Cash","No","Existing Construction (Not New)","none","$35,000","For Sale","9/30/2024","No",
"8","274148","Residential-Single Family","Manufactured Rented Lot","Yakima","$43,000","1100 S Euclid","Grandview","WA","98930","Sold","0","0","1",,"$49,500","No","0","7/12/2024",,"5/21/2024","81","81","81",,,"896","One",,,"No",,,,,,"Marlet",,"0.0000","$47.99","7/12/2024","MLS# 274148 Introducing a charming 2-bedroom, 1-bath manufactured home nestled in a tranquil community. This 1990 Marlette Model exudes comfort and convenience, making it an ideal haven for those seeking a relaxed and affordable lifestyle. Priced at $49,500, this well-maintained home comes complete with a convenient carport, ensuring hassle-free parking for residents.  Step into a cozy living space where natural light that bathes the interior, creating a warm and inviting atmosphere. The thoughtfully designed kitchen boasts modern appliances, providing functionality for everyday living. With two bedrooms, this home offers ample space for personal retreats or hosting guests.  As a bonus, the carport not only protects your vehicle from the elements but also adds a touch of convenience to your daily routine. Picture yourself enjoying the pleasant weather on your doorstep or engaging in community activities within this friendly neighborhood.  Worry-free living is further enhanced with a space rent of just $500, offering an affordable and stress-free arrangement. The overall package makes this manufactured home an attractive option for those looking to downsize or embrace a more straightforward lifestyle.  Are you 55 or older and ready to embark on a new chapter of comfortable living? Seize this opportunity to own your piece of tranquility at the affordable price of $49,500. Don't miss out on the chance to call this charming manufactured home yours. Contact your Realtor now to schedule a viewing and start your journey towards a relaxed and fulfilling living experience.","Appliances, Shed",,"H004063","$43,000","$47.99","GRANDVIEW",,"30000011239","2024","1","896","1990","Resid Mob Home","2","Cash","No","Existing Construction (Not New)","Owner","$49,500","For Sale","7/12/2024","Yes",
"25","275017","Residential-Single Family","Manufactured Rented Lot","Yakima","$43,500","1100 S Euclid","Grandview","WA","98930","Sold","0","0","2",,"$69,000","No","0","9/30/2024",,"9/4/2024","152","152","151",,,"1,456","Two",,,"No",,,,,,"Liberty",,"0.0000","$29.88","9/30/2024","MLS# 275017 Huge price reduction. Discover the perfect blend of comfort and affordability in this charming 1995 Liberty Modular home, designed with the 55 and older community in mind. Featuring three bedrooms, two baths, and a handy carport, this residence caters to your every need. Equipped with essential appliances, daily tasks become a breeze, freeing up your time for relaxation and enjoyment. With a reasonable space rent of $525 and priced attractively at $78,000, seize the opportunity to embrace a tranquil lifestyle without breaking the bank. Don't wait—call now to embark on your journey to peaceful retirement living!",,,"09L28509XU","$43,500","$29.88","GRANDVIEW",,"30000015374","2024","2","1,456","1995","Resid Mob Home","3","Cash","No","Existing Construction (Not New)","Owner","$95,000","For Sale","9/30/2024","Yes",
"8","277398","Residential-Single Family","Manufactured Rented Lot","Yakima","$69,000","1100 Euclid Rd","Grandview","WA","98930","Active","1","0","1",,"$69,000","No","0",,,,"252","252","251",,,"1,152","None",,,"No",,,,,,"Fuqua First Cabin",,"0.0000","$59.90","7/11/2024","MLS# 277398 New Listing in Grandview at Quail Run Mobile Home Park. A 1981 Fuqua First Cabin MH. This two bedroom/2 bath unit has a large patio with carport and a open, covered  very large deck. The owner is occupying the property.  Park Rules and application are required of new owners.",,,"6569",,,"OTHER",,"30000008440","2024","2","1,152","1981","SINGLE FAMILY R","2",,"No","Existing Construction (Not New)","Owner","$69,000","For Sale","3/4/2025","Yes",
"10","278884","Residential-Single Family","Manufactured Rented Lot","Yakima","$70,000","1100 S Euclid Rd.","Grandview","WA","98930","Sold","0","0","2",,"$75,000","No","0","2/25/2025",,"2/17/2025","158","158","158",,,"1,344","Carport",,,"No",,,,,,"Ardmore",,"0.0000","$52.08","3/3/2025","MLS# 278884 New Listing in Quail Run Mobile Home Park.  This property has 2 bedrooms and 2 baths with a large room at the entrance for a den, office, family room or an additional bedroom. Located with a front door access to the street. Off street parking for RV Storage and a 2-car covered carport.  Great view looking south from the home. Storage shed and hobby house located in the private back yard area.",,,"111274","$70,000","$52.08","OTHER",,"30000011265","2024","2","1,344","1990","Residential","2","Cash","No","Existing Construction (Not New)","Vacant","$75,000","For Sale","3/3/2025","Yes",
"11","274929","Residential-Single Family","Manufactured Rented Lot","Yakima","$81,000","1100 Euclid Rd","Grandview","WA","98893-0","Sold","0","0","2",,"$82,800","No","0","5/23/2024",,"5/6/2024","32","32","32",,,"1,809","Carport","75x15",,"No",,,,,,"Valley Manor",,"0.0000","$44.78","5/24/2024","MLS# 274929 This property is in the 55+ Quail Run community.  It is a great spot, with 3 beds and 2 baths inside its 1807 square feet, this Valley Manor manufactured home is move in ready for you to make your own. This fantastic home comes with a 75 X15 carport, oversized and covered front porch, and owned sheds. A new heat pump and hot water tank and new roof shows you the value this home provides. Contact your favorite REALTOR for a private showing today! The buyer must receive park approval before closing.",,"Grandview","VMH12521W10173AB","$81,000","$44.78","NONE/NA",,"30000011892","2024","2","1,809","1991","Mobile Home Park","3","Cash","No","Existing Construction (Not New)","Vacant","$82,800","For Sale","5/24/2024","Yes",
"11","278315","Residential-Single Family","Site Built-Owned Lot","Yakima","$91,654","505 Grandridge","Grandview","WA","98930","Sold","0","1","0",,"$124,900","No","0","9/3/2024",,"8/22/2024","4","4","4",,,"558","None",,,"No",,,,,,,,"0.1800","$164.25","9/5/2024","MLS# 278315 Whether you are an Investor, or a handy homeowner, this little home is calling your name!  Set back off the street, this flagship lot boasts lots of character, with a good sized, partially fenced back yard, and storage shed.  Inside, you'll find an ample living room, and a bedroom with nice closet.  At the back of the house is a multipurpose kitchen, with laundry station.  The bonus, is a newly remodeled bathroom with tile shower!  Lots of potential with this home!  Call your favorite Realtor today!",,"Grandview",,"$91,654","$164.25","GRANDVIEW",,"23092342412","2024","1","558","1925","Indust /Light","1","Cash","No","Existing Construction (Not New)","vacant","$124,900","For Sale","9/5/2024","Yes",
"16","278314","Residential-Single Family","Site Built-Owned Lot","Yakima","$128,346","503 Grandridge Ave","Grandview","WA","98930","Sold","0","2","0",,"$174,900","No","0","9/3/2024",,"8/22/2024","4","4","4",,,"1,400","None",,,"No",,,,,,,,"0.2200","$91.68","9/5/2024","MLS# 278314 Calling all Investors!  This is a cash only, as is sale.  This 5 bed, 2 bath home sits on a .22 acre lot.  This lot is commercially zoned with current residential use.  This is a prime property to use your imagination and remodel for personal use, resale, or a fabulous rental!  Maybe you'd like to put a business in this great location, on Grandview's Grandridge Rd!  Note:  Right next door is another listed home for sale by the same owner!  Purchase both, and have .40 acres in town with two homes!Call your favorite realtor to view today!",,"Grandview",,"$128,346","$91.68","GRANDVIEW",,"23092342413","2024","2","1,400","1915","Indust /Light","5","Cash","No","Existing Construction (Not New)","vacant","$174,900","For Sale","9/5/2024","Yes",
"1","280756","Residential-Single Family","Manufactured-Owned Lot","Yakima","$136,900","1104 Hillcrest","Grandview","WA","98930","Sold","0","0","2",,"$234,900","No","0","2/14/2025",,"1/6/2025","19","19","18",,,"1,232","None",,,"No",,,,,,,,"0.1100","$111.12","2/14/2025","MLS# 280756  3 bedroom,  2 bathroom Manufactured home on its own lot.","Manufactured home and land.","Grandview",,"$136,900","$111.12","OTHER",,"230922 43454","2024","2","1,232","1996","Residential","3","FHA","No","Existing Construction (Not New)","Selene","$239,900","For Sale","2/14/2025","Yes",
